[2024-06-16 16:55:23,054][root][INFO] - Added epoch data: {'round': 4, 'epoch_steps': 182, 'total_steps': 403, 'l2_norm': 4.991123676300049, 'total_computation_time': 8.972347021102905, 'total_rtc_check_time': 0.7932389800043893, 'total_duration': 10.36368989944458, 'val_loss': 0.1561092883348465, 'val_accuracy': 0.9545000195503235, 'experiment_id': 'experiment_20240616165429014189'}
[2024-06-16 16:55:23,209][root][INFO] - Added step data List. New Data Added: 182
[2024-06-16 16:55:23,211][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/epoch.csv
[2024-06-16 16:55:23,216][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/step.csv
[2024-06-16 16:55:27,560][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 16:55:27,684][utils.model][INFO] - (In epoch/Overall): (1/404)| inst_loss: 0.0364 - Mean loss: 0.0364 - acc: 1.0000 - norm: 0.00 - 0.12s
[2024-06-16 16:55:28,272][utils.model][INFO] - (In epoch/Overall): (11/414)| inst_loss: 0.0487 - Mean loss: 0.1900 - acc: 0.9517 - norm: 0.27 - 0.71s
[2024-06-16 16:55:28,863][utils.model][INFO] - (In epoch/Overall): (21/424)| inst_loss: 0.2157 - Mean loss: 0.1729 - acc: 0.9509 - norm: 0.46 - 1.30s
[2024-06-16 16:55:29,362][utils.model][INFO] - (In epoch/Overall): (31/434)| inst_loss: 0.2270 - Mean loss: 0.1687 - acc: 0.9516 - norm: 0.67 - 1.80s
[2024-06-16 16:55:29,912][utils.model][INFO] - (In epoch/Overall): (41/444)| inst_loss: 0.0464 - Mean loss: 0.1641 - acc: 0.9535 - norm: 0.90 - 2.35s
[2024-06-16 16:55:30,465][utils.model][INFO] - (In epoch/Overall): (51/454)| inst_loss: 0.0226 - Mean loss: 0.1544 - acc: 0.9540 - norm: 1.03 - 2.90s
[2024-06-16 16:55:30,946][utils.model][INFO] - (In epoch/Overall): (61/464)| inst_loss: 0.0464 - Mean loss: 0.1445 - acc: 0.9575 - norm: 1.17 - 3.38s
[2024-06-16 16:55:31,476][utils.model][INFO] - (In epoch/Overall): (71/474)| inst_loss: 0.0171 - Mean loss: 0.1439 - acc: 0.9591 - norm: 1.39 - 3.91s
[2024-06-16 16:55:32,095][utils.model][INFO] - (In epoch/Overall): (81/484)| inst_loss: 0.1139 - Mean loss: 0.1443 - acc: 0.9583 - norm: 1.65 - 4.53s
[2024-06-16 16:55:32,644][utils.model][INFO] - (In epoch/Overall): (91/494)| inst_loss: 0.1876 - Mean loss: 0.1433 - acc: 0.9584 - norm: 1.81 - 5.08s
[2024-06-16 16:55:33,172][utils.model][INFO] - (In epoch/Overall): (101/504)| inst_loss: 0.1373 - Mean loss: 0.1429 - acc: 0.9582 - norm: 2.11 - 5.61s
[2024-06-16 16:55:33,673][utils.model][INFO] - (In epoch/Overall): (111/514)| inst_loss: 0.1229 - Mean loss: 0.1428 - acc: 0.9581 - norm: 2.27 - 6.11s
[2024-06-16 16:55:34,254][utils.model][INFO] - (In epoch/Overall): (121/524)| inst_loss: 0.0592 - Mean loss: 0.1376 - acc: 0.9600 - norm: 2.39 - 6.69s
[2024-06-16 16:55:34,856][utils.model][INFO] - (In epoch/Overall): (131/534)| inst_loss: 0.0763 - Mean loss: 0.1369 - acc: 0.9597 - norm: 2.71 - 7.29s
[2024-06-16 16:55:35,409][utils.model][INFO] - (In epoch/Overall): (141/544)| inst_loss: 0.1260 - Mean loss: 0.1419 - acc: 0.9572 - norm: 2.98 - 7.85s
[2024-06-16 16:55:35,937][utils.model][INFO] - (In epoch/Overall): (151/554)| inst_loss: 0.1631 - Mean loss: 0.1418 - acc: 0.9570 - norm: 3.19 - 8.37s
[2024-06-16 16:55:36,512][utils.model][INFO] - (In epoch/Overall): (161/564)| inst_loss: 0.0573 - Mean loss: 0.1395 - acc: 0.9577 - norm: 3.35 - 8.95s
[2024-06-16 16:55:37,117][utils.model][INFO] - (In epoch/Overall): (171/574)| inst_loss: 0.0860 - Mean loss: 0.1391 - acc: 0.9583 - norm: 3.59 - 9.55s
[2024-06-16 16:55:37,633][utils.model][INFO] - (In epoch/Overall): (181/584)| inst_loss: 0.2399 - Mean loss: 0.1379 - acc: 0.9577 - norm: 3.90 - 10.07s
[2024-06-16 16:55:38,170][utils.model][INFO] - (In epoch/Overall): (191/594)| inst_loss: 0.1616 - Mean loss: 0.1393 - acc: 0.9573 - norm: 4.09 - 10.61s
[2024-06-16 16:55:38,703][utils.model][INFO] - (In epoch/Overall): (201/604)| inst_loss: 0.0138 - Mean loss: 0.1409 - acc: 0.9574 - norm: 4.34 - 11.14s
[2024-06-16 16:55:39,336][utils.model][INFO] - (In epoch/Overall): (211/614)| inst_loss: 0.0809 - Mean loss: 0.1385 - acc: 0.9581 - norm: 4.57 - 11.77s
[2024-06-16 16:55:39,917][utils.model][INFO] - (In epoch/Overall): (221/624)| inst_loss: 0.0266 - Mean loss: 0.1368 - acc: 0.9587 - norm: 4.81 - 12.35s
[2024-06-16 16:55:40,035][utils.model][INFO] - Epoch Results:
[2024-06-16 16:55:40,040][utils.model][INFO] - (In epoch/Overall): (223/626)| inst_loss: 0.0378 - Mean loss: 0.1364 - acc: 0.9587 - norm: 4.88 - 12.48s
[2024-06-16 16:55:41,549][utils.model][INFO] - Evaluation Results - Val Loss: 0.1100, Val Accuracy: 0.9650 in 32 steps
[2024-06-16 16:55:41,551][root][INFO] - Added epoch data: {'round': 5, 'epoch_steps': 223, 'total_steps': 626, 'l2_norm': 4.875576496124268, 'total_computation_time': 10.897163152694702, 'total_rtc_check_time': 0.8815904921139008, 'total_duration': 12.476253032684326, 'val_loss': 0.10997262597084045, 'val_accuracy': 0.9649999737739563, 'experiment_id': 'experiment_20240616165429014189'}
[2024-06-16 16:55:41,681][root][INFO] - Added step data List. New Data Added: 223
[2024-06-16 16:55:41,682][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/epoch.csv
[2024-06-16 16:55:41,688][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/step.csv
[2024-06-16 16:55:41,715][flwr][DEBUG] - gRPC channel closed
[2024-06-16 16:55:41,715][flwr][INFO] - Disconnect and shut down
