[2024-06-22 14:42:54,754][utils.model][INFO] - Step 36/40 - val_loss: 0.3133 - val_accuracy: 0.9144
[2024-06-22 14:42:54,773][utils.model][INFO] - Step 37/40 - val_loss: 0.3090 - val_accuracy: 0.9159
[2024-06-22 14:42:54,792][utils.model][INFO] - Step 38/40 - val_loss: 0.3093 - val_accuracy: 0.9150
[2024-06-22 14:42:54,811][utils.model][INFO] - Step 39/40 - val_loss: 0.3156 - val_accuracy: 0.9134
[2024-06-22 14:42:54,821][utils.model][INFO] - Step 40/40 - val_loss: 0.3121 - val_accuracy: 0.9135
[2024-06-22 14:42:54,823][utils.model][INFO] - Evaluation Results - Val Loss: 0.3121, Val Accuracy: 0.9135 in 40 steps
[2024-06-22 14:42:54,825][flwr][INFO] - fit progress: (2, 0.31208548, {'accuracy': 0.9135}, 21.172158511006273)
[2024-06-22 14:42:54,825][flwr][DEBUG] - evaluate_round 2: strategy sampled 6 clients (out of 6)
[2024-06-22 14:42:55,283][flwr][DEBUG] - evaluate_round 2 received 6 results and 0 failures
[2024-06-22 14:42:55,286][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/epoch.csv
[2024-06-22 14:42:55,368][root][INFO] - Batch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/batch.csv
[2024-06-22 14:42:55,369][root][INFO] - Server data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/server/server.csv
[2024-06-22 14:43:00,444][flwr][DEBUG] - fit_round 3: strategy sampled 5 clients (out of 6)
[2024-06-22 14:43:10,252][flwr][DEBUG] - fit_round 3 received 5 results and 0 failures
[2024-06-22 14:43:10,315][utils.model][INFO] - LeNet model built
[2024-06-22 14:43:10,431][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 14:43:10,462][utils.model][INFO] - Step 1/40 - val_loss: 0.1002 - val_accuracy: 0.9766
[2024-06-22 14:43:10,480][utils.model][INFO] - Step 2/40 - val_loss: 0.1539 - val_accuracy: 0.9492
[2024-06-22 14:43:10,499][utils.model][INFO] - Step 3/40 - val_loss: 0.1757 - val_accuracy: 0.9375
[2024-06-22 14:43:10,520][utils.model][INFO] - Step 4/40 - val_loss: 0.1692 - val_accuracy: 0.9395
[2024-06-22 14:43:10,541][utils.model][INFO] - Step 5/40 - val_loss: 0.1879 - val_accuracy: 0.9367
[2024-06-22 14:43:10,561][utils.model][INFO] - Step 6/40 - val_loss: 0.1922 - val_accuracy: 0.9362
[2024-06-22 14:43:10,579][utils.model][INFO] - Step 7/40 - val_loss: 0.1978 - val_accuracy: 0.9375
